('http://www.songlyrics.com/adele/someone-like-you-lyrics/', '2011')
('http://www.songlyrics.com/lmfao/party-rock-anthem-lyrics/', '2011')
('http://www.songlyrics.com/foster-the-people/pumped-up-kicks-lyrics/', '2011')
('http://www.songlyrics.com/maroon-5/moves-like-jagger-lyrics/', '2011')
('http://www.songlyrics.com/gym-class-heroes/stereo-hearts-lyrics/', '2011')
('http://www.songlyrics.com/cobra-starship/you-make-me-feel-lyrics/', '2011')
('http://www.songlyrics.com/rihanna/cheers-drink-to-that-lyrics/', '2011')
('http://www.songlyrics.com/david-guetta/without-you-lyrics/', '2011')
('http://www.songlyrics.com/lady-gaga/you-and-i-lyrics/', '2011')
('http://www.songlyrics.com/lmfao/sexy-i-know-it-lyrics/', '2011')
('http://www.songlyrics.com/lil-wayne/how-to-love-lyrics/', '2011')
('http://www.songlyrics.com/bad-meets-evil/lighters-lyrics/', '2011')
('http://www.songlyrics.com/rihanna/we-found-love-lyrics/', '2011')
('http://www.songlyrics.com/pitbull/give-me-everything-lyrics/', '2011')
('http://www.songlyrics.com/katy-perry/last-friday-night-t-g-i-f-lyrics/', '2011')
('http://www.songlyrics.com/lady-antebellum/just-a-kiss-lyrics/', '2011')
('http://www.songlyrics.com/hot-chelle-rae/tonight-tonight-lyrics/', '2011')
('http://www.songlyrics.com/nicki-minaj/super-bass-lyrics/', '2011')
('http://www.songlyrics.com/onerepublic/good-life-lyrics/', '2011')
('http://www.songlyrics.com/dev/in-the-dark-lyrics/', '2011')
('http://www.songlyrics.com/drake/headlines-lyrics/', '2011')
('http://www.songlyrics.com/jason-derulo/it-girl-lyrics/', '2011')
('http://www.songlyrics.com/adele/rolling-in-the-deep-lyrics/', '2011')
('http://www.songlyrics.com/the-band-perry/if-i-die-young-lyrics/', '2011')
('http://www.songlyrics.com/blake-shelton/god-gave-me-you-lyrics/', '2011')
('http://www.songlyrics.com/lil-wayne/she-will-lyrics/', '2011')
('http://www.songlyrics.com/dj-khaled/i-m-on-one-lyrics/', '2011')
('http://www.songlyrics.com/rodney-atkins/take-a-back-road-lyrics/', '2011')
('http://www.songlyrics.com/lady-gaga/the-edge-of-glory-lyrics/', '2011')
('http://www.songlyrics.com/alexandra-stan/mr-saxobeat-lyrics/', '2011')
('http://www.songlyrics.com/coldplay/paradise-lyrics/', '2011')
('http://www.songlyrics.com/big-sean/marvin-gaye-chardonnay-lyrics/', '2011')
('http://www.songlyrics.com/jake-owen/barefoot-blue-jean-night-lyrics/', '2011')
('http://www.songlyrics.com/the-script/nothing-lyrics/', '2011')
('http://www.songlyrics.com/kelly-rowland/motivation-lyrics/', '2011')
('http://www.songlyrics.com/kelly-clarkson/mr-know-it-all-lyrics/', '2011')
('http://www.songlyrics.com/kenny-chesney/you-tequila-lyrics/', '2011')
('http://www.songlyrics.com/eli-young-band/crazy-girl-lyrics/', '2011')
('http://www.songlyrics.com/toby-keith/made-in-america-lyrics/', '2011')
('http://www.songlyrics.com/britney-spears/i-wanna-go-lyrics/', '2011')
('http://www.songlyrics.com/afrojack/take-over-control-lyrics/', '2011')
('http://www.songlyrics.com/brad-paisley/remind-me-lyrics/', '2011')
('http://www.songlyrics.com/beyonce-knowles/best-thing-i-never-had-lyrics/', '2011')
('http://www.songlyrics.com/new-boyz/better-with-the-lights-off-lyrics/', '2011')
('http://www.songlyrics.com/kanye-west-jay-z/niggas-in-paris-lyrics/', '2011')
('http://www.songlyrics.com/jason-aldean/dirt-road-anthem-lyrics/', '2011')
('http://www.songlyrics.com/gavin-degraw/not-over-you-lyrics/', '2011')
('http://www.songlyrics.com/drake/marvin-s-room-lyrics/', '2011')
('http://www.songlyrics.com/iyaz/pretty-girls-lyrics/', '2011')
('http://www.songlyrics.com/keith-urban/long-hot-summer-lyrics/', '2011')
('http://www.songlyrics.com/nicki-minaj/fly-lyrics/', '2011')
('http://www.songlyrics.com/george-strait/here-for-a-good-time-lyrics/', '2011')
('http://www.songlyrics.com/demi-lovato/skyscraper-lyrics/', '2011')
('http://www.songlyrics.com/selena-gomez-the-scene/love-you-like-a-love-song-lyrics/', '2011')
('http://www.songlyrics.com/rascal-flatts/easy-lyrics/', '2011')
('http://www.songlyrics.com/coldplay/every-teardrop-is-a-waterfall-lyrics/', '2011')
('http://www.songlyrics.com/taylor-swift/sparks-fly-lyrics/', '2011')
('http://www.songlyrics.com/kanye-west-jay-z/otis-lyrics/', '2011')
('http://www.songlyrics.com/lady-antebellum/we-owned-the-night-lyrics/', '2011')
('http://www.songlyrics.com/miranda-lambert/baggage-claim-lyrics/', '2011')
('http://www.songlyrics.com/zac-brown-band/knee-deep-lyrics/', '2011')
('http://www.songlyrics.com/andy-grammer/keep-your-head-up-ep-lyrics/', '2011')
('http://www.songlyrics.com/trace-adkins/just-fishin-lyrics/', '2011')
('http://www.songlyrics.com/glee-cast/it-s-not-unusual-lyrics/', '2011')
('http://www.songlyrics.com/red-hot-chili-peppers/the-adventures-of-rain-dance-maggie-lyrics/', '2011')
('http://www.songlyrics.com/brantley-gilbert/country-must-be-country-wide-lyrics/', '2011')
('http://www.songlyrics.com/birdman/y-u-mad-lyrics/', '2011')
('http://www.songlyrics.com/demi-lovato/fix-a-heart-lyrics/', '2011')
('http://www.songlyrics.com/pitbull/rain-over-me-lyrics/', '2011')
('http://www.songlyrics.com/glee-cast/you-can-t-stop-the-beat-lyrics/', '2011')
('http://www.songlyrics.com/wale/that-way-lyrics/', '2011')
('http://www.songlyrics.com/colbie-caillat/brighter-than-the-sun-lyrics/', '2011')
('http://www.songlyrics.com/j-cole/work-out-lyrics/', '2011')
('http://www.songlyrics.com/miguel/quickie-lyrics/', '2011')
('http://www.songlyrics.com/wiz-khalifa/no-sleep-lyrics/', '2011')
('http://www.songlyrics.com/chris-brown/wet-the-bed-lyrics/', '2011')
('http://www.songlyrics.com/mindless-behavior/mrs-right-lyrics/', '2011')
('http://www.songlyrics.com/jerrod-niemann/one-more-drinkin-song-lyrics/', '2011')
('http://www.songlyrics.com/awolnation/sail-lyrics/', '2011')
('http://www.songlyrics.com/the-band-perry/all-your-life-lyrics/', '2011')
('http://www.songlyrics.com/steve-holy/love-don-t-run-lyrics/', '2011')
('http://www.songlyrics.com/jason-aldean/tattoos-on-this-town-lyrics/', '2011')
('http://www.songlyrics.com/glee-cast/we-got-the-beat-lyrics/', '2011')
('http://www.songlyrics.com/darius-rucker/i-got-nothin-lyrics/', '2011')
('http://www.songlyrics.com/kreayshawn/gucci-gucci-lyrics/', '2011')
('http://www.songlyrics.com/ronnie-dunn/cost-of-livin-lyrics/', '2011')
('http://www.songlyrics.com/matt-nathanson/faster-lyrics/', '2011')
('http://www.songlyrics.com/craig-campbell/fish-lyrics/', '2011')
('http://www.songlyrics.com/billy-currington/love-done-gone-lyrics/', '2011')
('http://www.songlyrics.com/thompson-square/i-got-you-lyrics/', '2011')
('http://www.songlyrics.com/tyga/far-away-lyrics/', '2011')
('http://www.songlyrics.com/david-nail/let-it-rain-lyrics/', '2011')
('http://www.songlyrics.com/sean-paul/got-2-luv-u-lyrics/', '2011')
('http://www.songlyrics.com/foo-fighters/walk-lyrics/', '2011')
('http://www.songlyrics.com/adele/set-fire-to-the-rain-lyrics/', '2011')
('http://www.songlyrics.com/eric-church/drink-in-my-hand-lyrics/', '2011')
('http://www.songlyrics.com/lil-wayne/blunt-blowin-lyrics/', '2011')
('http://www.songlyrics.com/chris-brown/beautiful-people-lyrics/', '2011')
('http://www.songlyrics.com/ace-hood/body-2-body-lyrics/', '2011')
